FSA,ProvinceTerritory,n_days,concentration
N4W,ON,94.0,103.0
N4W,ON,110.0,122.0
N4W,ON,94.0,176.0
N4W,ON,91.0,625.0
N0K,ON,96.0,31.0
N0K,ON,91.0,73.0
N0K,ON,91.0,107.0
N0K,ON,93.0,216.0
N0K,ON,113.0,21.0
N0K,ON,98.0,31.0
N0K,ON,91.0,53.0
N0K,ON,99.0,139.0
N0K,ON,91.0,144.0
N0K,ON,100.0,201.0
N0K,ON,93.0,507.0
N0K,ON,114.0,19.0
N0K,ON,98.0,97.0
N0K,ON,91.0,122.0
N0K,ON,91.0,145.0
N0K,ON,101.0,23.0
N0K,ON,95.0,32.0
N0K,ON,92.0,212.0
N0K,ON,92.0,36.0
N0K,ON,102.0,99.0
N0B,ON,92.0,29.0
N0B,ON,92.0,32.0
N0B,ON,94.0,172.0
N4X,ON,132.0,7.5
N4X,ON,91.0,23.0
N4X,ON,91.0,30.0
N4X,ON,91.0,40.0
N4X,ON,91.0,61.0
N4X,ON,61.0,66.0
N4X,ON,91.0,70.0
N4X,ON,92.0,90.0
N4X,ON,92.0,94.0
N4X,ON,94.0,136.0
N4X,ON,120.0,158.0
N4X,ON,92.0,179.0
N4X,ON,99.0,190.0
N4X,ON,98.0,199.0
N4X,ON,96.0,213.0
N4X,ON,91.0,224.0
N4X,ON,101.0,246.0
N4X,ON,94.0,246.0
N0K,ON,84.0,75.0
N0K,ON,189.0,123.0
N0K,ON,91.0,265.0
N0K,ON,93.0,553.0
N5A,ON,98.0,70.0
N4Z,ON,99.0,7.5
N4Z,ON,89.0,7.5
N4Z,ON,90.0,20.0
N4Z,ON,95.0,63.0
N5A,ON,90.0,7.5
N5A,ON,100.0,7.5
N5A,ON,95.0,7.5
N5A,ON,92.0,7.5
N5A,ON,106.0,7.5
N5A,ON,125.0,7.5
N5A,ON,93.0,7.5
N5A,ON,93.0,7.5
N5A,ON,132.0,7.5
N5A,ON,108.0,7.5
N5A,ON,92.0,16.0
N5A,ON,92.0,16.0
N5A,ON,91.0,17.0
N5A,ON,107.0,19.0
N5A,ON,92.0,19.0
N5A,ON,97.0,21.0
N5A,ON,98.0,21.0
N5A,ON,95.0,21.0
N5A,ON,97.0,21.0
N5A,ON,93.0,22.0
N5A,ON,93.0,22.0
N5A,ON,91.0,23.0
N5A,ON,91.0,27.0
N5A,ON,86.0,28.0
N5A,ON,110.0,34.0
N5A,ON,91.0,37.0
N5A,ON,92.0,40.0
N5A,ON,91.0,43.0
N5A,ON,90.0,46.0
N5A,ON,102.0,61.0
N5A,ON,92.0,62.0
N5A,ON,91.0,74.0
N5A,ON,91.0,88.0
N5A,ON,92.0,92.0
N5A,ON,94.0,101.0
N5A,ON,151.0,107.0
N5A,ON,90.0,109.0
N5A,ON,94.0,130.0
N5A,ON,92.0,137.0
N5A,ON,92.0,169.0
N5A,ON,91.0,179.0
N5A,ON,95.0,188.0
N5A,ON,100.0,208.0
K0L,ON,181.0,49.0
K0L,ON,97.0,85.0
K0L,ON,100.0,26.0
K0L,ON,90.0,17.0
K0L,ON,101.0,25.0
K0L,ON,92.0,49.0
K0L,ON,92.0,79.0
K0L,ON,102.0,103.0
K0L,ON,90.0,48.0
K0L,ON,101.0,371.0
L0A,ON,91.0,68.0
L0A,ON,91.0,125.0
K0L,ON,92.0,7.5
K0L,ON,91.0,24.0
K0L,ON,94.0,59.0
K0L,ON,109.0,114.0
K0L,ON,99.0,189.0
K0L,ON,96.0,516.0
K0L,ON,95.0,7.5
K0L,ON,95.0,31.0
K0L,ON,91.0,39.0
K0L,ON,92.0,189.0
K0M,ON,91.0,1317.0
K0L,ON,91.0,7.5
K0L,ON,66.0,7.5
K0L,ON,116.0,18.0
K0L,ON,91.0,32.0
K0L,ON,95.0,34.0
K0L,ON,91.0,66.0
K0L,ON,103.0,84.0
K0L,ON,132.0,93.0
K0L,ON,96.0,122.0
K0L,ON,91.0,165.0
K0L,ON,92.0,31.0
L0A,ON,103.0,7.5
L0A,ON,91.0,82.0
L0A,ON,90.0,107.0
L0A,ON,90.0,122.0
L0A,ON,91.0,188.0
K0L,ON,126.0,65.0
K0L,ON,98.0,107.0
K0L,ON,90.0,220.0
K9H,ON,91.0,19.0
K9H,ON,92.0,26.0
K9H,ON,95.0,27.0
K9H,ON,91.0,28.0
K9H,ON,91.0,34.0
K9H,ON,99.0,58.0
K9H,ON,91.0,60.0
K9H,ON,97.0,65.0
K9H,ON,91.0,73.0
K9H,ON,92.0,76.0
K9H,ON,90.0,81.0
K9H,ON,89.0,86.0
K9H,ON,91.0,92.0
K9H,ON,90.0,116.0
K9H,ON,105.0,130.0
K9H,ON,94.0,137.0
K9H,ON,92.0,148.0
K9H,ON,91.0,174.0
K9H,ON,92.0,196.0
K9H,ON,91.0,208.0
K9H,ON,103.0,223.0
K9H,ON,94.0,228.0
K9H,ON,91.0,231.0
K9J,ON,91.0,7.5
K9J,ON,92.0,7.5
K9J,ON,117.0,7.5
K9J,ON,104.0,15.0
K9J,ON,91.0,16.0
K9J,ON,90.0,16.0
K9J,ON,90.0,16.0
K9J,ON,98.0,17.0
K9J,ON,108.0,18.0
K9J,ON,91.0,21.0
K9J,ON,92.0,22.0
K9J,ON,74.0,29.0
K9J,ON,92.0,30.0
K9J,ON,117.0,31.0
K9J,ON,92.0,34.0
K9J,ON,100.0,35.0
K9J,ON,91.0,36.0
K9J,ON,97.0,43.0
K9J,ON,95.0,56.0
K9J,ON,142.0,59.0
K9J,ON,114.0,66.0
K9J,ON,106.0,68.0
K9J,ON,92.0,72.0
K9J,ON,96.0,75.0
K9J,ON,91.0,89.0
K9J,ON,93.0,101.0
K9J,ON,92.0,128.0
K9J,ON,103.0,136.0
K9J,ON,91.0,200.0
K9J,ON,91.0,239.0
K9K,ON,92.0,16.0
K9K,ON,90.0,29.0
K9K,ON,91.0,93.0
K9K,ON,91.0,121.0
K9K,ON,92.0,126.0
K9K,ON,92.0,135.0
K9K,ON,138.0,137.0
K9K,ON,92.0,155.0
K9K,ON,97.0,174.0
K9K,ON,92.0,515.0
K9L,ON,92.0,24.0
K9L,ON,91.0,25.0
K9L,ON,94.0,39.0
K9L,ON,96.0,41.0
K9L,ON,92.0,115.0
K0L,ON,92.0,26.0
K0L,ON,92.0,181.0
P0L,ON,98.0,16.0
P0L,ON,91.0,19.0
P0L,ON,115.0,64.0
P0L,ON,97.0,146.0
P0L,ON,89.0,157.0
P0N,ON,96.0,7.5
P0N,ON,90.0,25.0
P0N,ON,100.0,120.0
P0L,ON,91.0,17.0
P0L,ON,98.0,7.5
P0L,ON,95.0,15.0
P0L,ON,92.0,31.0
P0L,ON,122.0,120.0
P0L,ON,129.0,389.0
P0K,ON,108.0,26.0
P0M,ON,90.0,17.0
P0K,ON,110.0,7.5
P0K,ON,98.0,7.5
P0K,ON,92.0,17.0
P0K,ON,90.0,33.0
P0K,ON,92.0,104.0
P0K,ON,101.0,114.0
P0K,ON,98.0,129.0
P0L,ON,90.0,60.0
P5N,ON,91.0,7.5
P5N,ON,97.0,7.5
P5N,ON,91.0,7.5
P5N,ON,91.0,7.5
P5N,ON,103.0,7.5
P5N,ON,93.0,7.5
P5N,ON,91.0,7.5
P5N,ON,91.0,16.0
P5N,ON,92.0,18.0
P5N,ON,98.0,84.0
P5N,ON,97.0,92.0
P5N,ON,92.0,97.0
P5N,ON,103.0,134.0
P0K,ON,92.0,24.0
P0K,ON,92.0,27.0
P0K,ON,95.0,38.0
P0L,ON,92.0,7.5
P0K,ON,92.0,26.0
P0L,ON,93.0,7.5
P0L,ON,92.0,64.0
P0N,ON,91.0,30.0
P0N,ON,92.0,60.0
P0N,ON,91.0,78.0
P0N,ON,93.0,80.0
P0N,ON,61.0,110.0
P0N,ON,93.0,7.5
P0N,ON,93.0,7.5
P0N,ON,61.0,15.0
P0L,ON,91.0,7.5
P0L,ON,94.0,57.0
P0L,ON,92.0,66.0
P0L,ON,92.0,94.0
P0N,ON,91.0,17.0
P0N,ON,92.0,67.0
P4N,ON,92.0,7.5
P4N,ON,90.0,7.5
P4N,ON,93.0,7.5
P4N,ON,94.0,7.5
P4N,ON,92.0,7.5
P4N,ON,96.0,7.5
P4N,ON,153.0,7.5
P4N,ON,98.0,7.5
P4N,ON,98.0,17.0
P4N,ON,98.0,17.0
P4N,ON,92.0,19.0
P4N,ON,92.0,19.0
P4N,ON,92.0,20.0
P4N,ON,91.0,20.0
P4N,ON,91.0,20.0
P4N,ON,93.0,25.0
P4N,ON,97.0,25.0
P4N,ON,98.0,31.0
P4N,ON,92.0,31.0
P4N,ON,90.0,33.0
P4N,ON,94.0,34.0
P4N,ON,105.0,34.0
P4N,ON,91.0,41.0
P4N,ON,88.0,49.0
P4N,ON,90.0,61.0
P4N,ON,91.0,65.0
P4N,ON,97.0,126.0
P4N,ON,95.0,159.0
P4P,ON,92.0,7.5
P4P,ON,103.0,21.0
P4P,ON,89.0,29.0
P4P,ON,90.0,29.0
P4P,ON,91.0,75.0
P4R,ON,94.0,7.5
P4R,ON,91.0,7.5
P4R,ON,92.0,24.0
P4R,ON,94.0,121.0
P0K,ON,91.0,149.0
K7S,ON,98.0,177.0
K7S,ON,93.0,7.5
K7S,ON,119.0,16.0
K7S,ON,96.0,23.0
K7S,ON,91.0,72.0
K7S,ON,90.0,74.0
K7S,ON,139.0,81.0
K7S,ON,91.0,94.0
K7S,ON,92.0,131.0
K7S,ON,91.0,143.0
K7S,ON,115.0,154.0
K7S,ON,90.0,161.0
K7S,ON,100.0,170.0
K7S,ON,99.0,185.0
K7S,ON,91.0,200.0
K0J,ON,108.0,52.0
K0A,ON,93.0,101.0
K0A,ON,68.0,103.0
K0A,ON,91.0,133.0
K0A,ON,106.0,299.0
K0A,ON,103.0,460.0
K0J,ON,93.0,58.0
K0J,ON,102.0,7.5
K0J,ON,91.0,29.0
K0J,ON,92.0,75.0
K0J,ON,91.0,756.0
K0J,ON,102.0,17.0
K0J,ON,87.0,40.0
K0J,ON,92.0,56.0
K0J,ON,95.0,293.0
K0J,ON,90.0,20.0
K0J,ON,95.0,23.0
K0J,ON,100.0,31.0
K0J,ON,95.0,34.0
K0J,ON,150.0,52.0
K0J,ON,92.0,77.0
K0J,ON,116.0,99.0
K0J,ON,91.0,146.0
K0J,ON,91.0,165.0
K0J,ON,112.0,25.0
K0J,ON,91.0,16.0
K0J,ON,93.0,28.0
K0J,ON,140.0,53.0
K0J,ON,93.0,56.0
K0J,ON,98.0,63.0
K0J,ON,93.0,68.0
K0J,ON,93.0,19.0
K0J,ON,92.0,61.0
K0J,ON,103.0,303.0
K8A,ON,91.0,217.0
K8A,ON,92.0,7.5
K8A,ON,95.0,7.5
K8A,ON,91.0,7.5
K8A,ON,90.0,7.5
K8A,ON,92.0,7.5
K8A,ON,92.0,7.5
K8A,ON,95.0,7.5
K8A,ON,90.0,19.0
K8A,ON,118.0,20.0
K8A,ON,92.0,21.0
K8A,ON,91.0,23.0
K8A,ON,92.0,23.0
K8A,ON,99.0,36.0
K8A,ON,91.0,43.0
K8A,ON,175.0,63.0
K8A,ON,92.0,73.0
K8A,ON,90.0,74.0
K8A,ON,91.0,101.0
K8A,ON,91.0,115.0
K8A,ON,113.0,261.0
K8A,ON,91.0,262.0
K8A,ON,93.0,7.5
K8H,ON,91.0,31.0
K8H,ON,93.0,32.0
K8H,ON,91.0,44.0
K8H,ON,116.0,48.0
K8H,ON,92.0,62.0
K8H,ON,139.0,115.0
K8H,ON,90.0,137.0
K8H,ON,108.0,173.0
K8H,ON,92.0,197.0
K7V,ON,91.0,127.0
K7V,ON,91.0,7.5
K7V,ON,96.0,7.5
K7V,ON,91.0,19.0
K7V,ON,91.0,64.0
K7V,ON,106.0,66.0
K7V,ON,91.0,81.0
K7V,ON,97.0,82.0
K7V,ON,108.0,97.0
K7V,ON,92.0,116.0
K7V,ON,92.0,116.0
K7V,ON,91.0,118.0
K7V,ON,95.0,135.0
K7V,ON,93.0,192.0
K0J,ON,92.0,28.0
K0A,ON,100.0,34.0
K0A,ON,97.0,74.0
K0J,ON,91.0,15.0
K0J,ON,139.0,49.0
K0C,ON,102.0,7.5
K0C,ON,91.0,7.5
K0C,ON,90.0,19.0
K0C,ON,113.0,32.0
K0C,ON,174.0,142.0
K0B,ON,91.0,25.0
K0B,ON,90.0,7.5
K0B,ON,90.0,7.5
K0B,ON,150.0,19.0
K0B,ON,103.0,71.0
K0A,ON,103.0,25.0
K0A,ON,93.0,25.0
K0A,ON,105.0,31.0
K0A,ON,95.0,34.0
K0A,ON,95.0,88.0
K0A,ON,97.0,106.0
K0A,ON,92.0,123.0
K0A,ON,115.0,198.0
K0C,ON,85.0,23.0
K0C,ON,93.0,34.0
K0B,ON,92.0,19.0
K6H,ON,95.0,7.5
K6H,ON,91.0,7.5
K6H,ON,94.0,17.0
K6H,ON,92.0,25.0
K6H,ON,90.0,38.0
K6H,ON,90.0,39.0
K6H,ON,92.0,125.0
K6H,ON,91.0,133.0
K6J,ON,92.0,7.5
K6J,ON,92.0,18.0
K6K,ON,92.0,26.0
K6K,ON,93.0,73.0
K0B,ON,93.0,346.0
K0A,ON,92.0,19.0
K0A,ON,93.0,21.0
K0A,ON,91.0,24.0
K0A,ON,105.0,26.0
K0A,ON,92.0,30.0
K0A,ON,92.0,53.0
K0A,ON,92.0,89.0
K0A,ON,94.0,108.0
K0A,ON,137.0,118.0
K0B,ON,109.0,20.0
K0B,ON,93.0,28.0
K0A,ON,91.0,7.5
K0A,ON,93.0,99.0
K6A,ON,91.0,7.5
K6A,ON,92.0,21.0
K6A,ON,122.0,34.0
K6A,ON,92.0,66.0
K6A,ON,104.0,107.0
K6A,ON,125.0,594.0
K6A,ON,94.0,859.0
K0C,ON,90.0,29.0
K0E,ON,96.0,7.5
K0E,ON,90.0,56.0
K0E,ON,99.0,279.0
K0A,ON,98.0,7.5
K0A,ON,91.0,7.5
K0A,ON,90.0,7.5
K0A,ON,92.0,26.0
K0A,ON,97.0,28.0
K0A,ON,94.0,33.0
K0C,ON,102.0,21.0
K0B,ON,93.0,35.0
K0B,ON,99.0,88.0
K0B,ON,91.0,98.0
K0B,ON,98.0,246.0
K0C,ON,92.0,7.5
K0C,ON,102.0,22.0
K0C,ON,102.0,22.0
K0C,ON,119.0,7.5
K0C,ON,91.0,21.0
K0A,ON,95.0,29.0
K0B,ON,120.0,7.5
K0B,ON,98.0,7.5
K4K,ON,112.0,32.0
K4K,ON,92.0,42.0
K4K,ON,92.0,44.0
K4K,ON,102.0,100.0
K4K,ON,92.0,105.0
K4K,ON,97.0,114.0
K4K,ON,96.0,144.0
K4K,ON,91.0,157.0
K4K,ON,90.0,168.0
K4K,ON,91.0,241.0
K4R,ON,143.0,7.5
K4R,ON,118.0,21.0
K4R,ON,92.0,145.0
K0A,ON,80.0,76.0
K0A,ON,94.0,169.0
K0C,ON,116.0,53.0
K0B,ON,142.0,7.5
K0B,ON,93.0,7.5
K0B,ON,91.0,7.5
K0B,ON,114.0,31.0
K0A,ON,97.0,33.0
K0A,ON,90.0,136.0
L9R,ON,96.0,7.5
L9R,ON,93.0,24.0
L9R,ON,94.0,28.0
L9R,ON,113.0,69.0
L9R,ON,144.0,144.0
L0M,ON,96.0,7.5
L0M,ON,91.0,7.5
L0M,ON,96.0,7.5
L0M,ON,93.0,28.0
P0C,ON,92.0,66.0
L4M,ON,104.0,7.5
L4M,ON,92.0,7.5
L4M,ON,103.0,7.5
L4M,ON,101.0,19.0
L4M,ON,97.0,62.0
L4M,ON,148.0,85.0
L4M,ON,91.0,86.0
L4M,ON,93.0,117.0
L4N,ON,99.0,7.5
L4N,ON,93.0,7.5
L4N,ON,91.0,7.5
L4N,ON,89.0,7.5
L4N,ON,92.0,20.0
L4N,ON,90.0,21.0
L4N,ON,91.0,28.0
L4N,ON,104.0,30.0
L4N,ON,92.0,114.0
P0B,ON,95.0,72.0
L0L,ON,97.0,15.0
P1L,ON,91.0,7.5
P1L,ON,104.0,7.5
P1L,ON,92.0,7.5
P1L,ON,98.0,15.0
P1L,ON,99.0,17.0
P1L,ON,91.0,18.0
P1L,ON,93.0,24.0
P1L,ON,65.0,24.0
P1L,ON,92.0,25.0
P1L,ON,91.0,38.0
P1L,ON,104.0,124.0
P1L,ON,90.0,393.0
L3Z,ON,93.0,22.0
L3Z,ON,91.0,28.0
L3Z,ON,91.0,134.0
L0K,ON,96.0,18.0
L0K,ON,93.0,24.0
L0K,ON,88.0,28.0
L0K,ON,91.0,7.5
L9Y,ON,90.0,7.5
L9Y,ON,92.0,7.5
L9Y,ON,92.0,29.0
L0L,ON,102.0,7.5
L0L,ON,92.0,31.0
P0A,ON,99.0,7.5
P0A,ON,91.0,7.5
P0A,ON,91.0,16.0
L0L,ON,95.0,40.0
L0L,ON,92.0,84.0
L0M,ON,92.0,24.0
P1P,ON,119.0,7.5
P1P,ON,111.0,7.5
P1P,ON,91.0,7.5
P1P,ON,90.0,27.0
P1P,ON,92.0,42.0
P1P,ON,91.0,91.0
L0L,ON,92.0,7.5
P0E,ON,94.0,16.0
P0E,ON,101.0,18.0
P1H,ON,91.0,7.5
P1H,ON,91.0,7.5
P1H,ON,91.0,17.0
P1H,ON,98.0,20.0
P1H,ON,91.0,27.0
P1H,ON,91.0,29.0
P1H,ON,93.0,32.0
P1H,ON,103.0,36.0
P1H,ON,108.0,56.0
P1H,ON,91.0,59.0
L9S,ON,82.0,7.5
L9S,ON,93.0,25.0
L9S,ON,92.0,111.0
L9S,ON,93.0,130.0
L0L,ON,100.0,7.5
L0L,ON,91.0,32.0
L4R,ON,92.0,7.5
L4R,ON,93.0,41.0
L4R,ON,120.0,125.0
P0B,ON,93.0,32.0
L0L,ON,91.0,7.5
L0L,ON,93.0,68.0
L0M,ON,90.0,7.5
L3V,ON,90.0,7.5
L3V,ON,50.0,7.5
L3V,ON,90.0,54.0
L9M,ON,96.0,77.0
L9M,ON,92.0,185.0
L0L,ON,91.0,113.0
P0B,ON,92.0,16.0
L0K,ON,71.0,105.0
P0B,ON,91.0,15.0
P0B,ON,91.0,7.5
P0B,ON,92.0,37.0
L9Z,ON,97.0,23.0
L9Z,ON,91.0,27.0
L9Z,ON,96.0,37.0
L0K,ON,98.0,7.5
L0K,ON,94.0,7.5
L0K,ON,93.0,7.5
L0L,ON,97.0,180.0
P0M,ON,91.0,17.0
P0M,ON,75.0,17.0
P0M,ON,91.0,22.0
P0M,ON,99.0,27.0
P0M,ON,99.0,32.0
P0M,ON,95.0,68.0
P0M,ON,114.0,89.0
P0M,ON,90.0,153.0
P0M,ON,92.0,89.0
P0M,ON,98.0,168.0
P0M,ON,91.0,973.0
P0M,ON,83.0,7.5
P0M,ON,91.0,27.0
P0M,ON,91.0,44.0
P0M,ON,154.0,48.0
P0M,ON,91.0,71.0
P0M,ON,99.0,181.0
P0M,ON,91.0,143.0
P5E,ON,95.0,73.0
P5E,ON,91.0,87.0
P5E,ON,91.0,118.0
P5E,ON,98.0,119.0
P5E,ON,92.0,145.0
P5E,ON,91.0,193.0
P5E,ON,91.0,276.0
P0P,ON,93.0,29.0
*,ON,97.0,99.0
P0M,ON,131.0,24.0
P0P,ON,96.0,18.0
P0P,ON,90.0,59.0
P0M,ON,94.0,78.0
P3P,ON,91.0,7.5
P3P,ON,91.0,23.0
P3P,ON,108.0,33.0
P3P,ON,91.0,43.0
P3P,ON,91.0,92.0
P3P,ON,90.0,132.0
P0P,ON,90.0,22.0
P0P,ON,92.0,24.0
P0M,ON,107.0,16.0
P0P,ON,104.0,7.5
P0P,ON,99.0,82.0
P0P,ON,88.0,125.0
P0P,ON,93.0,162.0
P0P,ON,92.0,188.0
P3Y,ON,106.0,18.0
P3Y,ON,90.0,37.0
P3Y,ON,91.0,40.0
P3Y,ON,94.0,81.0
P3Y,ON,91.0,147.0
P3Y,ON,91.0,258.0
P0P,ON,90.0,16.0
P0P,ON,93.0,137.0
P0P,ON,96.0,182.0
P0M,ON,99.0,87.0
P0P,ON,94.0,28.0
P0P,ON,93.0,17.0
P0P,ON,93.0,30.0
P0P,ON,96.0,35.0
P0P,ON,91.0,80.0
P0P,ON,93.0,88.0
P0M,ON,100.0,85.0
P0M,ON,103.0,7.5
P0P,ON,92.0,7.5
P0P,ON,95.0,18.0
P0P,ON,92.0,20.0
P0P,ON,89.0,137.0
P0P,ON,107.0,34.0
P0M,ON,95.0,53.0
P3A,ON,95.0,18.0
P3A,ON,91.0,24.0
P3A,ON,101.0,61.0
P3A,ON,101.0,72.0
P3A,ON,97.0,87.0
P3A,ON,105.0,117.0
P3B,ON,93.0,7.5
P3B,ON,95.0,21.0
P3B,ON,90.0,54.0
P3B,ON,98.0,101.0
P3B,ON,90.0,181.0
*,ON,92.0,17.0
P3E,ON,95.0,28.0
P3E,ON,91.0,31.0
P3E,ON,97.0,40.0
P3E,ON,96.0,74.0
P3E,ON,91.0,97.0
P3E,ON,117.0,111.0
P3E,ON,100.0,192.0
P3E,ON,91.0,240.0
P3E,ON,92.0,241.0
*,ON,118.0,58.0
P0P,ON,92.0,165.0
*,ON,97.0,35.0
P0M,ON,91.0,122.0
P0H,ON,91.0,68.0
P0M,ON,108.0,121.0
P0P,ON,90.0,147.0
P0T,ON,95.0,5657.0
P0T,ON,97.0,57.0
P0T,ON,92.0,65.0
P0T,ON,91.0,7.5
P0T,ON,102.0,52.0
P0T,ON,94.0,62.0
P0T,ON,91.0,45.0
P0T,ON,108.0,7.5
P0T,ON,91.0,7.5
P0T,ON,91.0,99.0
P0T,ON,90.0,15.0
P0T,ON,97.0,27.0
P0T,ON,91.0,63.0
P0T,ON,91.0,66.0
P0T,ON,93.0,83.0
P0T,ON,102.0,96.0
P0T,ON,90.0,216.0
P0T,ON,91.0,7.5
P0T,ON,121.0,22.0
P0T,ON,91.0,79.0
P0T,ON,90.0,97.0
P0T,ON,96.0,111.0
P0T,ON,92.0,114.0
P0T,ON,91.0,171.0
*,ON,91.0,432.0
P0T,ON,98.0,61.0
P0T,ON,101.0,82.0
P0T,ON,117.0,92.0
P0T,ON,54.0,122.0
P0T,ON,93.0,136.0
P0T,ON,83.0,162.0
P0T,ON,91.0,281.0
P0T,ON,92.0,275.0
P0T,ON,94.0,51.0
P0T,ON,93.0,25.0
P0T,ON,90.0,62.0
P0T,ON,96.0,464.0
P0T,ON,91.0,7.5
P0T,ON,97.0,18.0
P0T,ON,94.0,37.0
P0T,ON,92.0,37.0
P0T,ON,91.0,80.0
P0T,ON,102.0,95.0
P0T,ON,91.0,132.0
P7A,ON,94.0,7.5
P7A,ON,91.0,7.5
P7A,ON,98.0,19.0
P7A,ON,91.0,24.0
P7A,ON,99.0,29.0
P7A,ON,100.0,30.0
P7A,ON,92.0,60.0
P7A,ON,91.0,67.0
P7A,ON,90.0,76.0
P7A,ON,91.0,89.0
P7A,ON,90.0,98.0
P7A,ON,111.0,99.0
P7A,ON,92.0,119.0
P7A,ON,92.0,124.0
P7A,ON,92.0,155.0
P7A,ON,93.0,161.0
P7A,ON,92.0,220.0
P7B,ON,91.0,7.5
P7B,ON,90.0,7.5
P7B,ON,90.0,19.0
P7B,ON,92.0,23.0
P7B,ON,105.0,33.0
P7B,ON,100.0,35.0
P7B,ON,92.0,39.0
P7B,ON,93.0,60.0
P7B,ON,109.0,69.0
P7B,ON,92.0,74.0
P7B,ON,90.0,78.0
P7B,ON,91.0,81.0
P7B,ON,98.0,89.0
P7B,ON,91.0,129.0
P7B,ON,91.0,141.0
P7B,ON,92.0,162.0
P7B,ON,85.0,189.0
P7B,ON,91.0,206.0
P7B,ON,106.0,237.0
P7B,ON,85.0,311.0
P7B,ON,91.0,322.0
P7C,ON,92.0,7.5
P7C,ON,93.0,7.5
P7C,ON,91.0,21.0
P7C,ON,96.0,24.0
P7C,ON,89.0,27.0
P7C,ON,112.0,60.0
P7C,ON,91.0,65.0
P7C,ON,92.0,75.0
P7C,ON,91.0,92.0
P7C,ON,96.0,132.0
P7E,ON,91.0,7.5
P7E,ON,90.0,7.5
P7E,ON,91.0,16.0
P7E,ON,92.0,42.0
P7E,ON,98.0,45.0
P7E,ON,105.0,76.0
P7E,ON,98.0,100.0
P7G,ON,91.0,159.0
P7G,ON,91.0,237.0
P7J,ON,104.0,7.5
P7J,ON,92.0,103.0
P7K,ON,91.0,24.0
P7K,ON,96.0,72.0
P7K,ON,91.0,86.0
P7K,ON,90.0,91.0
P7K,ON,64.0,317.0
P0K,ON,97.0,18.0
P0J,ON,95.0,7.5
P0J,ON,91.0,7.5
P0J,ON,91.0,7.5
P0J,ON,101.0,29.0
P0J,ON,103.0,7.5
P0J,ON,93.0,7.5
P0J,ON,91.0,67.0
P0J,ON,91.0,81.0
P0J,ON,91.0,27.0
P0J,ON,91.0,130.0
P0J,ON,98.0,7.5
P0J,ON,91.0,7.5
P0J,ON,90.0,7.5
P0J,ON,92.0,33.0
P0J,ON,90.0,52.0
P0J,ON,98.0,7.5
P0J,ON,93.0,7.5
P0J,ON,93.0,7.5
P0J,ON,92.0,7.5
P0J,ON,92.0,7.5
P0J,ON,91.0,7.5
P0J,ON,97.0,25.0
P0J,ON,94.0,28.0
P0J,ON,99.0,37.0
P0J,ON,98.0,92.0
P0J,ON,91.0,7.5
P0J,ON,93.0,17.0
P0J,ON,91.0,30.0
P0J,ON,91.0,61.0
P0J,ON,101.0,69.0
P0J,ON,91.0,80.0
P0J,ON,94.0,83.0
P0J,ON,93.0,144.0
P0J,ON,106.0,146.0
P0J,ON,91.0,163.0
P0J,ON,91.0,387.0
P0J,ON,94.0,873.0
P0J,ON,74.0,24.0
P0J,ON,92.0,67.0
P0J,ON,92.0,88.0
P2N,ON,90.0,7.5
P2N,ON,100.0,7.5
P2N,ON,101.0,7.5
P2N,ON,92.0,7.5
P2N,ON,92.0,7.5
P2N,ON,98.0,7.5
P2N,ON,92.0,7.5
P2N,ON,90.0,7.5
P2N,ON,98.0,7.5
P2N,ON,93.0,7.5
P2N,ON,92.0,7.5
P2N,ON,94.0,7.5
P2N,ON,91.0,18.0
P2N,ON,96.0,22.0
P2N,ON,90.0,38.0
P0K,ON,91.0,7.5
P0K,ON,91.0,251.0
P0J,ON,92.0,121.0
P0J,ON,91.0,142.0
P0K,ON,128.0,118.0
P0J,ON,148.0,7.5
P0J,ON,92.0,7.5
P0J,ON,90.0,7.5
P0J,ON,91.0,26.0
P0J,ON,91.0,28.0
P0J,ON,91.0,30.0
P0J,ON,91.0,52.0
P0J,ON,115.0,61.0
P0J,ON,106.0,64.0
P0J,ON,89.0,69.0
P0J,ON,101.0,78.0
P0J,ON,96.0,82.0
P0J,ON,93.0,82.0
P0J,ON,93.0,90.0
P0J,ON,100.0,101.0
P0J,ON,90.0,115.0
P0J,ON,92.0,125.0
P0J,ON,90.0,125.0
P0J,ON,90.0,129.0
P0J,ON,94.0,135.0
P0J,ON,91.0,179.0
P0J,ON,92.0,193.0
P0J,ON,108.0,201.0
P0J,ON,101.0,272.0
P0J,ON,91.0,298.0
P0J,ON,90.0,27.0
P0J,ON,91.0,32.0
P0J,ON,91.0,61.0
P0J,ON,91.0,133.0
P0J,ON,116.0,151.0
P0J,ON,91.0,356.0
P0K,ON,96.0,7.5
P0K,ON,90.0,17.0
P0K,ON,91.0,33.0
P0K,ON,91.0,61.0
P0K,ON,91.0,82.0
P0H,ON,92.0,22.0
P0H,ON,91.0,261.0
P0J,ON,92.0,72.0
P0J,ON,92.0,7.5
P0J,ON,71.0,7.5
P0K,ON,112.0,23.0
N0B,ON,105.0,472.0
N3A,ON,99.0,25.0
N3A,ON,105.0,29.0
N3A,ON,105.0,34.0
N3A,ON,93.0,34.0
N3A,ON,94.0,65.0
*,ON,90.0,21.0
N1R,ON,93.0,7.5
N1R,ON,91.0,7.5
N1R,ON,94.0,32.0
